jns_karantina;komoditas;satuan;harga;Komsat
H;Whey;ton;1.000.000.000;Whey/ton
T;BENIH BUNGA KOL;kilogram;963.000.000;BENIH BUNGA KOL/kilogram
T;DAUN NILAM;kilogram;807.000.000;DAUN NILAM/kilogram
T;KAYU EBONY;meter kubik;716.000.000;KAYU EBONY/meter kubik
T;BIBIT JABON;meter kubik;708.000.000;BIBIT JABON/meter kubik
T;LAIN-LAIN;peti kemas;550.000.000;LAIN-LAIN/peti kemas
T;BIBIT TOMAT;kilogram;527.000.000;BIBIT TOMAT/kilogram
T;KAYU JATI/FURNITURE;meter kubik;425.000.000;KAYU JATI/FURNITURE/meter kubik
I;Mutiara;kilogram;410.000.000;Mutiara/kilogram
T;KERTAS;meter kubik;380.000.000;KERTAS/meter kubik
T;KERAJINAN TANGAN;meter kubik;261.000.000;KERAJINAN TANGAN/meter kubik
T;BUNGA PINUS;meter kubik;204.000.000;BUNGA PINUS/meter kubik
T;KAYU JATI;meter kubik;169.000.000;KAYU JATI/meter kubik
H;Daging Kerbau;ton;150.000.000;Daging Kerbau/ton
H;Daging Sapi;ton;150.000.000;Daging Sapi/ton
I;Kerang Mutiara;kilogram;123.000.000;Kerang Mutiara/kilogram
T;KAYU BALSA;meter kubik;122.000.000;KAYU BALSA/meter kubik
T;EUCALYPTUS SAWN TIMBER;meter kubik;117.000.000;EUCALYPTUS SAWN TIMBER/meter kubik
T;BUAH NANGKA;meter kubik;116.000.000;BUAH NANGKA/meter kubik
T;THYMUS;kilogram;90.592.788;THYMUS/kilogram
H;Jerohan Sapi;ton;90.000.000;Jerohan Sapi/ton
T;BENIH KAYU AFRIKA;meter kubik;81.809.314;BENIH KAYU AFRIKA/meter kubik
T;KAYU NANGKA;meter kubik;78.121.000;KAYU NANGKA/meter kubik
T;KAYU CEDAR;meter kubik;72.867.648;KAYU CEDAR/meter kubik
T;BUNGA TAPAK DARA;kilogram;71.654.258;BUNGA TAPAK DARA/kilogram
T;TEMBAKAU KERING;meter kubik;63.745.020;TEMBAKAU KERING/meter kubik
T;KOPI BIJI;meter kubik;58.656.108;KOPI BIJI/meter kubik
T;ROTAN;meter kubik;57.386.936;ROTAN/meter kubik
I;Telur Ikan;kilogram;54.002.496;Telur Ikan/kilogram
T;JELUTUNG;meter kubik;50.000.000;JELUTUNG/meter kubik
T;KAYU MERBAU;meter kubik;48.087.738;KAYU MERBAU/meter kubik
T;KAYU PAPAN;meter kubik;47.979.195;KAYU PAPAN/meter kubik
T;KAYU KARET;meter kubik;4.628.036;KAYU KARET/meter kubik
T;KAYU OLAHAN;meter kubik;6.500.939;KAYU OLAHAN/meter kubik
T;KAYU ALBASIA;meter kubik;42.377.499;KAYU ALBASIA/meter kubik
T;BAHAN BAKU LAIN;meter kubik;41.126.045;BAHAN BAKU LAIN/meter kubik
T;KAYU VENEER;meter kubik;39.946.873;KAYU VENEER/meter kubik
T;Kepayang atau Kluwek;meter kubik;39.234.909;Kepayang atau Kluwek/meter kubik
T;KUPING GAJAH;kilogram;36.673.295;KUPING GAJAH/kilogram
T;KAPUK;buah/butir/batang;35.000.000;KAPUK/buah/butir/batang
T;KAYU NYATOH;meter kubik;34.818.942;KAYU NYATOH/meter kubik
T;KULIT KAYU;meter kubik;33.833.333;KULIT KAYU/meter kubik
T;KAKAO BIJI;kemasan;33.794.000;KAKAO BIJI/kemasan
T;KAYU VENEER;kilogram;32.608.103;KAYU VENEER/kilogram
H;Kuda;ekor;30.000.000;Kuda/ekor
T;TEPUNG SABUT KELAPA;meter kubik;29.761.905;TEPUNG SABUT KELAPA/meter kubik
T;Gula Kelapa;meter kubik;28.555.845;Gula Kelapa/meter kubik
T;PERABOTAN KAYU;meter kubik;26.897.839;PERABOTAN KAYU/meter kubik
T;BIBIT TANAMAN HIAS;kilogram;25.347.751;BIBIT TANAMAN HIAS/kilogram
T;KAYU MANGGA;meter kubik;24.515.242;KAYU MANGGA/meter kubik
T;BENIH CABE;kilogram;24.240.602;BENIH CABE/kilogram
T;KELAPA SERABUT;meter kubik;22.257.990;KELAPA SERABUT/meter kubik
T;TEH;meter kubik;22.198.887;TEH/meter kubik
H;Kerbau;ekor;22.000.000;Kerbau/ekor
T;POHON KETAPANG;meter kubik;21.965.256;POHON KETAPANG/meter kubik
T;Kayu Karet Olahan;meter kubik;8.534.955;Kayu Karet Olahan/meter kubik
H;Sarang Burung Walet;kilogram;19.455.500;Sarang Burung Walet/kilogram
T;BAWANG PUTIH;liter;20.000.000;BAWANG PUTIH/liter
T;BIBIT BAMBU;meter kubik;19.871.795;BIBIT BAMBU/meter kubik
T;KAYU KRUING;meter kubik;19.051.958;KAYU KRUING/meter kubik
T;PERABOT ROTAN;meter kubik;19.028.440;PERABOT ROTAN/meter kubik
H;Sapi;ekor;19.000.000;Sapi/ekor
T;KAYU ALDER;meter kubik;18.915.224;KAYU ALDER/meter kubik
T;BENIH TOMAT;kilogram;18.600.418;BENIH TOMAT/kilogram
T;PALEM;meter kubik;18.048.000;PALEM/meter kubik
T;KAYU GAHARU;meter kubik;18.030.303;KAYU GAHARU/meter kubik
T;BONSAI POHON PULE;meter kubik;17.882.710;BONSAI POHON PULE/meter kubik
T;LAIN-LAIN;meter kubik;16.931.101;LAIN-LAIN/meter kubik
T;KAYU MAPLE;meter kubik;16.907.985;KAYU MAPLE/meter kubik
T;KAYU ALDER MERAH;meter kubik;16.242.992;KAYU ALDER MERAH/meter kubik
T;KAYU ALDER;kilogram;15.600.876;KAYU ALDER/kilogram
T;KAYU JATI/FURNITURE;kemasan;15.507.820;KAYU JATI/FURNITURE/kemasan
T;IJUK;meter kubik;15.461.914;IJUK/meter kubik
I;Baby Clam;kilogram;15.386.791;Baby Clam/kilogram
T;BUAH LONTAR;kilogram;15.210.917;BUAH LONTAR/kilogram
I;Arwana Super Red;kilogram;15.000.000;Arwana Super Red/kilogram
T;KAYU OAK PUTIH;meter kubik;14.489.836;KAYU OAK PUTIH/meter kubik
T;KAYU KARET;meter persegi;14.250.122;KAYU KARET/meter persegi
T;GENITRI;kilogram;14.080.957;GENITRI/kilogram
T;KAYU OAK MERAH;meter kubik;13.473.726;KAYU OAK MERAH/meter kubik
T;MAHONI;meter kubik;13.289.554;MAHONI/meter kubik
T;JUTE;meter kubik;12.954.948;JUTE/meter kubik
T;KAYU PINUS;meter kubik;12.919.787;KAYU PINUS/meter kubik
T;Kayu Sonokeling;meter kubik;12.775.319;Kayu Sonokeling/meter kubik
T;KAYU BALAU;meter kubik;12.744.953;KAYU BALAU/meter kubik
T;KAYU TREMBESI;meter kubik;12.662.439;KAYU TREMBESI/meter kubik
T;Kayu Sonokeling;kilogram;12.645.555;Kayu Sonokeling/kilogram
T;KAYU IROKO;meter kubik;12.323.910;KAYU IROKO/meter kubik
T;KAYU AKASIA;meter kubik;12.151.876;KAYU AKASIA/meter kubik
H;Susu Sapi;ton;12.000.000;Susu Sapi/ton
T;KAYU KOPI;meter kubik;11.996.352;KAYU KOPI/meter kubik
T;KAYU MERANTI;meter kubik;11.910.947;KAYU MERANTI/meter kubik
T;ALTERNANTHERA;meter kubik;11.659.220;ALTERNANTHERA/meter kubik
T;MENDONG;meter kubik;11.636.364;MENDONG/meter kubik
T;Buah Tempayan;kilogram;11.332.549;Buah Tempayan/kilogram
T;KAYU ULIN;meter kubik;11.199.753;KAYU ULIN/meter kubik
T;BENIH MELON;kilogram;11.192.755;BENIH MELON/kilogram
T;Kayu Putih;meter kubik;11.156.920;Kayu Putih/meter kubik
T;KAYU RAMIN;meter kubik;11.019.893;KAYU RAMIN/meter kubik
T;KAYU DOSSIE;meter kubik;10.891.945;KAYU DOSSIE/meter kubik
T;BUNGKIL KELAPA;meter kubik;10.562.907;BUNGKIL KELAPA/meter kubik
T;KAYU JEMPINIS;meter kubik;10.324.286;KAYU JEMPINIS/meter kubik
T;SEREH WANGI;liter;10.000.000;SEREH WANGI/liter
T;TANAMAN PELINDUNG;buah/butir/batang;10.000.000;TANAMAN PELINDUNG/buah/butir/batang
T;PANDAN;meter kubik;9.756.592;PANDAN/meter kubik
T;PINANG BIJI;kilogram;10.000;PINANG BIJI/kilogram
T;WALUH;kilogram;9.330.994;WALUH/kilogram
T;BALOK KAYU KELAPA;meter kubik;9.187.868;BALOK KAYU KELAPA/meter kubik
T;KAYU SENGON;meter kubik;8.843.165;KAYU SENGON/meter kubik
T;KAYU JATI/FURNITURE;meter persegi;8.813.095;KAYU JATI/FURNITURE/meter persegi
T;PERABOTAN KAYU;meter persegi;8.675.312;PERABOTAN KAYU/meter persegi
T;KAYU SPRUCE;meter kubik;8.627.010;KAYU SPRUCE/meter kubik
H;Elang;ekor;8.500.000;Elang/ekor
T;KETAPANG BIJI;kilogram;8.455.556;KETAPANG BIJI/kilogram
T;KOPI BIJI;kilogram;131.998;KOPI BIJI/kilogram
T;KAYU BANGKIRAI;meter kubik;8.342.886;KAYU BANGKIRAI/meter kubik
T;KAKAO BIJI;meter kubik;8.144.500;KAKAO BIJI/meter kubik
T;BENIH BUNGA FRENCH MARIGOLD;kilogram;8.132.250;BENIH BUNGA FRENCH MARIGOLD/kilogram
T;PINANG BIJI;meter kubik;8.011.146;PINANG BIJI/meter kubik
T;KAYU SENGON;buah/butir/batang;7.803.350;KAYU SENGON/buah/butir/batang
T;KAYU SHINA;meter kubik;7.689.547;KAYU SHINA/meter kubik
T;KAYU ALBASIA;meter persegi;7.651.957;KAYU ALBASIA/meter persegi
T;LADA BIJI;kilogram;7.408.463;LADA BIJI/kilogram
T;BIBIT AGLAONEMA;box;7.300.000;BIBIT AGLAONEMA/box
T;BATANG KELAPA;meter kubik;7.059.087;BATANG KELAPA/meter kubik
T;BIBIT ALANG-ALANG;meter kubik;7.031.057;BIBIT ALANG-ALANG/meter kubik
T;KAYU KEMPAS;meter kubik;6.856.208;KAYU KEMPAS/meter kubik
T;DELIMA;kilogram;6.666.667;DELIMA/kilogram
T;KAPUK;meter kubik;6.569.747;KAPUK/meter kubik
T;BIBIT TEBU;box;6.319.875;BIBIT TEBU/box
T;TEPUNG TAPIOKA;kilogram;5.000;TEPUNG TAPIOKA/kilogram
T;ALOCASIA;kilogram;5.649.376;ALOCASIA/kilogram
T;KAYU GAMAL;meter kubik;5.615.622;KAYU GAMAL/meter kubik
T;KAYU PALLET;meter kubik;5.541.823;KAYU PALLET/meter kubik
T;KAYU ASH;meter kubik;5.539.770;KAYU ASH/meter kubik
T;Balibong;buah/butir/batang;5.504.267;Balibong/buah/butir/batang
T;SISAL;meter kubik;5.291.854;SISAL/meter kubik
T;SAPU LIDI;meter kubik;5.269.912;SAPU LIDI/meter kubik
I;Saponin;kilogram;5.205.050;Saponin/kilogram
T;LOBAK REBUS;kilogram;5.202.479;LOBAK REBUS/kilogram
T;MINYAK SAYUR;kilogram;5.119.213;MINYAK SAYUR/kilogram
I;Udang Putih;kilogram;30.000;Udang Putih/kilogram
T;REMPAH-REMPAH;kilogram;5.064.560;REMPAH-REMPAH/kilogram
H;Burung Kakatua;ekor;5.000.000;Burung Kakatua/ekor
T;BIBIT BERINGIN;kilogram;5.000.000;BIBIT BERINGIN/kilogram
T;BENIH SEMANGKA;kilogram;4.779.223;BENIH SEMANGKA/kilogram
T;SERBUK KAYU;meter kubik;4.708.610;SERBUK KAYU/meter kubik
T;KAKAO SHELL;kilogram;4.707.005;KAKAO SHELL/kilogram
T;KAYU MERBAU;kilogram;4.664.496;KAYU MERBAU/kilogram
T;MOULDING;meter kubik;4.650.613;MOULDING/meter kubik
T;BAMBU;meter kubik;4.536.156;BAMBU/meter kubik
T;ARDISIA;kilogram;4.500.000;ARDISIA/kilogram
T;MIE;meter kubik;4.480.707;MIE/meter kubik
T;BENIH SAYURAN (CAMPURAN);kilogram;4.444.444;BENIH SAYURAN (CAMPURAN)/kilogram
T;KAKAO CAIR;box;4.437.625;KAKAO CAIR/box
I;Kulit Buaya;lembar;4.414.725;Kulit Buaya/lembar
T;ORNAMENTAL PLANTS;kilogram;4.307.115;ORNAMENTAL PLANTS/kilogram
T;ROTAN;meter persegi;4.183.341;ROTAN/meter persegi
T;KAYU BIRCH;meter kubik;4.070.130;KAYU BIRCH/meter kubik
T;SEA GRASS;meter kubik;4.056.671;SEA GRASS/meter kubik
H;Kera Percobaan;ekor;4.000.000;Kera Percobaan/ekor
T;PALA BIJI;meter kubik;3.964.000;PALA BIJI/meter kubik
T;SERAT PISANG;meter kubik;3.946.017;SERAT PISANG/meter kubik
T;KAYU DURIAN;meter kubik;3.926.917;KAYU DURIAN/meter kubik
T;TEMBAKAU KERING;box;3.830.643;TEMBAKAU KERING/box
T;LADA BIJI;bag;3.827.773;LADA BIJI/bag
T;SERAT ABAKA;meter kubik;3.801.492;SERAT ABAKA/meter kubik
H;Burung Beo;ekor;3.700.000;Burung Beo/ekor
T;MAHONI;cubic centimetre;3.611.066;MAHONI/cubic centimetre
T;ALMON;kilogram;3.584.083;ALMON/kilogram
T;VANILI;kilogram;2.120.000;VANILI/kilogram
H;Babi;ekor;3.500.000;Babi/ekor
T;LAIN-LAIN;kilogram;3.466.442;LAIN-LAIN/kilogram
T;BIBIT PISANG;meter kubik;3.450.762;BIBIT PISANG/meter kubik
T;ALANG-ALANG;meter kubik;3.447.391;ALANG-ALANG/meter kubik
T;ENCENG GONDOK;meter kubik;3.440.103;ENCENG GONDOK/meter kubik
T;BIBIT LILIUM;kilogram;3.316.446;BIBIT LILIUM/kilogram
T;Rumput Laut;meter kubik;3.193.964;Rumput Laut/meter kubik
T;VANILI;set;3.187.500;VANILI/set
T;BENIH SAWI;kilogram;3.136.325;BENIH SAWI/kilogram
T;CENGKEH;kilogram;150.000;CENGKEH/kilogram
T;KOPI BIJI;bag;3.014.182;KOPI BIJI/bag
H;Kambing;ekor;3.000.000;Kambing/ekor
T;KAYU JATI/FURNITURE;buah/butir/batang;3.000.000;KAYU JATI/FURNITURE/buah/butir/batang
T;BIBIT TERONG;kilogram;2.852.156;BIBIT TERONG/kilogram
T;Rumput Laut;box;2.803.956;Rumput Laut/box
T;KACANG KEDELAI;kilogram;2.802.106;KACANG KEDELAI/kilogram
T;BENIH KETIMUN;kilogram;2.796.638;BENIH KETIMUN/kilogram
T;KAYU ALBASIA;buah/butir/batang;2.621.927;KAYU ALBASIA/buah/butir/batang
T;BENIH TERUNG;kilogram;2.595.200;BENIH TERUNG/kilogram
T;BENIH PEPAYA;kilogram;2.570.742;BENIH PEPAYA/kilogram
H;Domba;ekor;2.500.000;Domba/ekor
T;KAYU KAMPER;meter kubik;2.487.333;KAYU KAMPER/meter kubik
T;KERTAS;kilogram;2.461.908;KERTAS/kilogram
T;KEMIRI;kilogram;2.424.159;KEMIRI/kilogram
T;LABISIA TURTLE;kilogram;2.416.667;LABISIA TURTLE/kilogram
T;Stevia Rebaudiana;kilogram;2.374.733;Stevia Rebaudiana/kilogram
T;KOLANG-KALING;kilogram;2.372.290;KOLANG-KALING/kilogram
T;BUNGA EMU GRASS;meter kubik;2.368.659;BUNGA EMU GRASS/meter kubik
T;BENIH OYONG;kilogram;2.327.625;BENIH OYONG/kilogram
T;KUNYIT;kilogram;2.293.898;KUNYIT/kilogram
T;KAYU JATI;kilogram;2.287.626;KAYU JATI/kilogram
T;BONSAI KEMUNING;kilogram;2.250.000;BONSAI KEMUNING/kilogram
T;JERNANG;kilogram;2.249.210;JERNANG/kilogram
T;WALNUT;box;2.244.000;WALNUT/box
T;BIBIT BUNGA KAMBOJA;kilogram;2.226.659;BIBIT BUNGA KAMBOJA/kilogram
T;KAYU OLAHAN;meter persegi;2.213.999;KAYU OLAHAN/meter persegi
T;BIBIT AGAVE;meter kubik;2.205.882;BIBIT AGAVE/meter kubik
T;KAYU BANGKIRAI;kilogram;2.163.506;KAYU BANGKIRAI/kilogram
T;BENIH SELEDRI;kilogram;2.087.000;BENIH SELEDRI/kilogram
T;BIBIT JAGUNG;kilogram;2.083.168;BIBIT JAGUNG/kilogram
T;KAYU WARU;meter kubik;2.031.097;KAYU WARU/meter kubik
H;Anjing;ekor;2.000.000;Anjing/ekor
H;Ayam Ketawa;ekor;2.000.000;Ayam Ketawa/ekor
H;Burung Murai Batu;ekor;2.000.000;Burung Murai Batu/ekor
T;RAMI;meter kubik;1.919.326;RAMI/meter kubik
T;BIBIT KETIMUN;kilogram;1.894.078;BIBIT KETIMUN/kilogram
T;ATE;meter kubik;1.812.910;ATE/meter kubik
T;BUNGKIL KACANG TANAH;buah/butir/batang;1.800.000;BUNGKIL KACANG TANAH/buah/butir/batang
T;BENIH LABU;kilogram;1.785.471;BENIH LABU/kilogram
T;POHON LONTAR;kilogram;1.777.940;POHON LONTAR/kilogram
T;BIBIT AGLAONEMA;kilogram;1.751.510;BIBIT AGLAONEMA/kilogram
T;BUNGA POTONG KERING;kilogram;1.750.000;BUNGA POTONG KERING/kilogram
T;PERABOT ROTAN;buah/butir/batang;1.706.473;PERABOT ROTAN/buah/butir/batang
T;KOPRA;kilogram;9.326;KOPRA/kilogram
T;BENIH KANGKUNG;kilogram;1.649.680;BENIH KANGKUNG/kilogram
T;VANILI;box;1.644.872;VANILI/box
T;BENIH PALEM LICUALA;kilogram;1.636.000;BENIH PALEM LICUALA/kilogram
T;CENDANA;meter kubik;1.611.619;CENDANA/meter kubik
T;BUAH JERUK PURUT;kilogram;1.603.159;BUAH JERUK PURUT/kilogram
T;SRIKAYA;kilogram;1.572.159;SRIKAYA/kilogram
T;BUAH NANAS;meter kubik;1.493.316;BUAH NANAS/meter kubik
T;GULA TEBU;kilogram;1.489.954;GULA TEBU/kilogram
T;ASAM JAWA;meter kubik;1.482.250;ASAM JAWA/meter kubik
T;GINSENG;kilogram;1.451.840;GINSENG/kilogram
I;Sea Bass;kilogram;1.449.844;Sea Bass/kilogram
I;Udang Vaname;kilogram;1.442.241;Udang Vaname/kilogram
T;TEPUNG AGAR;kilogram;1.412.594;TEPUNG AGAR/kilogram
I;Hiu;kilogram;1.411.662;Hiu/kilogram
T;MINYAK NILAM;liter;1.400.000;MINYAK NILAM/liter
T;UBI JALAR;kilogram;1.386.358;UBI JALAR/kilogram
T;KOPI BIJI;box;1.363.207;KOPI BIJI/box
T;BIBIT JAMBU BIJI;kilogram;1.353.333;BIBIT JAMBU BIJI/kilogram
I;Sea Bream;kilogram;1.344.168;Sea Bream/kilogram
I;Obat Ikan;kilogram;1.336.957;Obat Ikan/kilogram
T;CHAISIM;kilogram;1.307.438;CHAISIM/kilogram
T;UMBUT ROTAN;meter kubik;1.275.280;UMBUT ROTAN/meter kubik
T;BONSAI CEMARA UDANG;kilogram;1.258.316;BONSAI CEMARA UDANG/kilogram
T;Kayu Putih;buah/butir/batang;1.250.000;Kayu Putih/buah/butir/batang
T;JENGKOL;carton;1.231.448;JENGKOL/carton
T;KAYU JATI/FURNITURE;kilogram;1.221.784;KAYU JATI/FURNITURE/kilogram
T;PETAI;carton;1.215.648;PETAI/carton
T;JENETRI;buah/butir/batang;1.176.250;JENETRI/buah/butir/batang
I;Lobster Atlantik;kilogram;1.172.343;Lobster Atlantik/kilogram
T;BATANG KELAPA;kilogram;1.153.267;BATANG KELAPA/kilogram
T;BAWANG PUTIH;kilogram;1.136.261;BAWANG PUTIH/kilogram
T;BIBIT TANAMAN AQUARIUM;kilogram;1.133.081;BIBIT TANAMAN AQUARIUM/kilogram
I;Teripang;kilogram;1.130.092;Teripang/kilogram
T;BIBIT JAMBU AIR;kilogram;1.108.192;BIBIT JAMBU AIR/kilogram
I;Arwana Super Red;ekor;1.100.000;Arwana Super Red/ekor
I;Ikan Tuna;kilogram;1.048.425;Ikan Tuna/kilogram
T;KAKAO BUBUK;box;1.045.978;KAKAO BUBUK/box
T;SAPU LIDI;carton;1.019.973;SAPU LIDI/carton
T;VANILI;kemasan;1.002.629;VANILI/kemasan
T;RAMBAI;kilogram;1.002.000;RAMBAI/kilogram
H;Burung Parkit;ekor;1.000.000;Burung Parkit/ekor
H;Whey;kilogram;1.000.000;Whey/kilogram
I;Ikan Arwana;ekor;1.000.000;Ikan Arwana/ekor
I;Ikan Arwana;kilogram;1.000.000;Ikan Arwana/kilogram
T;BIBIT BUNGA KUPU-KUPU;kilogram;1.000.000;BIBIT BUNGA KUPU-KUPU/kilogram
T;JENETRI;kilogram;999.809;JENETRI/kilogram
T;SARANG SEMUT;kilogram;983.750;SARANG SEMUT/kilogram
T;KAKAO PASTA;kilogram;957.649;KAKAO PASTA/kilogram
T;BENIH KUBIS;kilogram;946.820;BENIH KUBIS/kilogram
I;Kerajinan Mutiara;kilogram;939.994;Kerajinan Mutiara/kilogram
T;BENIH PARIA;kilogram;931.243;BENIH PARIA/kilogram
I;Hiu;ekor;923.168;Hiu/ekor
T;CABE KERITING;carton;916.341;CABE KERITING/carton
T;GAHARU;meter kubik;906.190;GAHARU/meter kubik
T;KAPULAGA;kilogram;902.936;KAPULAGA/kilogram
T;CABE RAWIT;carton;897.132;CABE RAWIT/carton
T;POHON KETAPANG;kilogram;895.290;POHON KETAPANG/kilogram
I;Ikan Rejung;kilogram;893.715;Ikan Rejung/kilogram
T;VANILI;buah/butir/batang;892.613;VANILI/buah/butir/batang
T;BIBIT TANAMAN BUAH;kilogram;891.511;BIBIT TANAMAN BUAH/kilogram
T;DAUN MANGGIS BUBUK;kilogram;887.500;DAUN MANGGIS BUBUK/kilogram
T;KERAJINAN TANGAN;kilogram;887.014;KERAJINAN TANGAN/kilogram
I;Induk Udang Vaname;ekor;886.196;Induk Udang Vaname/ekor
T;DAUN MANIS;kilogram;883.631;DAUN MANIS/kilogram
T;BAWANG MERAH;carton;879.687;BAWANG MERAH/carton
T;TEMBAKAU KERING;kilogram;873.911;TEMBAKAU KERING/kilogram
T;JAMUR KERING;kemasan;850.000;JAMUR KERING/kemasan
T;BIBIT KURMA;kilogram;830.000;BIBIT KURMA/kilogram
T;DAUN KERING;kilogram;809.266;DAUN KERING/kilogram
H;Burung Lovebird;ekor;800.000;Burung Lovebird/ekor
H;Kulit Kambing Jadi;kilogram;800.000;Kulit Kambing Jadi/kilogram
H;Ular Sanca;ekor;800.000;Ular Sanca/ekor
T;MIE;kilogram;775.869;MIE/kilogram
T;DAMAR;kilogram;775.655;DAMAR/kilogram
T;BUAH JERUK PURUT;carton;752.621;BUAH JERUK PURUT/carton
T;MAMEY SAPOTE;kilogram;750.272;MAMEY SAPOTE/kilogram
T;SERAI;carton;749.294;SERAI/carton
I;Bintang Laut;kilogram;742.272;Bintang Laut/kilogram
I;Olahan Kepiting;kilogram;730.405;Olahan Kepiting/kilogram
I;Ikan Kurisi;kilogram;727.715;Ikan Kurisi/kilogram
I;Gurita;box;717.021;Gurita/box
I;Ikan Hias Air Tawar;ekor;714.784;Ikan Hias Air Tawar/ekor
T;Daging Kelapa;box;708.333;Daging Kelapa/box
I;Lobster Air Laut -- Hidup;ekor;689.690;Lobster Air Laut -- Hidup/ekor
T;JAGUNG;kilogram;684.386;JAGUNG/kilogram
I;Tiram;kilogram;682.502;Tiram/kilogram
T;Rumput Laut;kilogram;682.157;Rumput Laut/kilogram
T;BIBIT BAKAU;kilogram;675.445;BIBIT BAKAU/kilogram
I;Cangkang Kepiting;kilogram;672.888;Cangkang Kepiting/kilogram
T;BIBIT PARSLEY MOSS CURLED;buah/butir/batang;669.580;BIBIT PARSLEY MOSS CURLED/buah/butir/batang
T;KAYU PALLET;meter persegi;666.667;KAYU PALLET/meter persegi
T;ARECACEAE;kilogram;663.034;ARECACEAE/kilogram
T;GOOSEBERRY;kilogram;661.751;GOOSEBERRY/kilogram
T;BUAH PISANG;carton;651.680;BUAH PISANG/carton
T;BUAH KORMA;kilogram;649.932;BUAH KORMA/kilogram
I;Ikan Lele;kilogram;646.292;Ikan Lele/kilogram
T;BENIH ARECA(PLM);kilogram;643.237;BENIH ARECA(PLM)/kilogram
T;BENIH PALEM CYRTOSTACHYS RENDRA;kilogram;640.000;BENIH PALEM CYRTOSTACHYS RENDRA/kilogram
I;Ikan Semar;kilogram;630.916;Ikan Semar/kilogram
T;KELAPA PARUT;kilogram;625.579;KELAPA PARUT/kilogram
T;Pohon Pinang merah;kilogram;609.756;Pohon Pinang merah/kilogram
T;KAKAO BIJI;kilogram;605.073;KAKAO BIJI/kilogram
T;ARANG;kilogram;602.756;ARANG/kilogram
I;Batfish;kilogram;600.000;Batfish/kilogram
T;BIBIT TANAMAN OBAT;kilogram;600.000;BIBIT TANAMAN OBAT/kilogram
T;SERBUK KAYU;kilogram;596.595;SERBUK KAYU/kilogram
I;Ikan Kerapu;kilogram;582.787;Ikan Kerapu/kilogram
I;Sirip Hiu;kilogram;582.014;Sirip Hiu/kilogram
I;Napoleon;ekor;581.291;Napoleon/ekor
T;BAHAN JAMU-JAMUAN;kilogram;570.558;BAHAN JAMU-JAMUAN/kilogram
I;Tilan;ekor;1.080;Tilan/ekor
T;ADAS MANIS;kilogram;565.190;ADAS MANIS/kilogram
T;BENIH PALEM;kilogram;564.222;BENIH PALEM/kilogram
I;Lobster Mutiara;ekor;562.105;Lobster Mutiara/ekor
T;BENIH PALEM KOL;kilogram;560.000;BENIH PALEM KOL/kilogram
T;BAWANG DAYAK;kilogram;556.696;BAWANG DAYAK/kilogram
I;Telur Ikan Terbang;kilogram;550.106;Telur Ikan Terbang/kilogram
I;Ikan Belanak;kilogram;546.525;Ikan Belanak/kilogram
T;KUNYIT;carton;543.708;KUNYIT/carton
T;BAJAKAH;kilogram;541.931;BAJAKAH/kilogram
T;BUAH JERUK NIPIS;carton;530.667;BUAH JERUK NIPIS/carton
T;SERAT PISANG;kilogram;528.959;SERAT PISANG/kilogram
T;CESNAT;kilogram;528.265;CESNAT/kilogram
T;BUAH BEKU;kilogram;527.497;BUAH BEKU/kilogram
T;KAYU LAPIS;kilogram;527.269;KAYU LAPIS/kilogram
T;BIBIT TEH;kilogram;512.350;BIBIT TEH/kilogram
T;BONSAI MIRTEN;buah/butir/batang;509.000;BONSAI MIRTEN/buah/butir/batang
T;BUNGA SEDAP MALAM;kilogram;508.708;BUNGA SEDAP MALAM/kilogram
H;Ayam Bangkok;ekor;500.000;Ayam Bangkok/ekor
H;Kelinci Percobaan;ekor;500.000;Kelinci Percobaan/ekor
H;Kulit Ular Kering;kilogram;500.000;Kulit Ular Kering/kilogram
I;Ikan Cupang;kilogram;500.000;Ikan Cupang/kilogram
T;KAYU WARU;kilogram;500.000;KAYU WARU/kilogram
T;MINYAK KELAPA;liter;500.000;MINYAK KELAPA/liter
T;PISTACHIO;box;500.000;PISTACHIO/box
T;GINSENG KOREA;kilogram;491.904;GINSENG KOREA/kilogram
I;Pari;kilogram;491.150;Pari/kilogram
I;Ikan Hias Air Tawar;kilogram;490.646;Ikan Hias Air Tawar/kilogram
T;MINYAK NILAM;kilogram;490.130;MINYAK NILAM/kilogram
T;BUAH NANGKA;carton;488.760;BUAH NANGKA/carton
T;KACANG POLONG;kilogram;488.135;KACANG POLONG/kilogram
T;SAYURAN LABU;kilogram;487.282;SAYURAN LABU/kilogram
I;Ikan Todak;kilogram;484.295;Ikan Todak/kilogram
T;KAYU GAHARU;kilogram;477.307;KAYU GAHARU/kilogram
T;GAHARU;kilogram;476.509;GAHARU/kilogram
T;KELOR;liter;475.000;KELOR/liter
T;ANDALIMAN;kilogram;474.306;ANDALIMAN/kilogram
I;Ikan Anggoli;kilogram;469.577;Ikan Anggoli/kilogram
T;BINTANGOR;buah/butir/batang;469.166;BINTANGOR/buah/butir/batang
T;ROSELLA;kilogram;468.464;ROSELLA/kilogram
T;KAYU OLAHAN;buah/butir/batang;466.667;KAYU OLAHAN/buah/butir/batang
T;KAKAO CAIR;kemasan;461.348;KAKAO CAIR/kemasan
T;UBI KAYU;carton;458.131;UBI KAYU/carton
